cell_type,source_support,target_support,precision,recall,f1,direction,model,seed,label_level,subset
gdT,71,59,0.09722222222222222,0.11864406779661017,0.10687022900763359,pbmc5k_to_pbmc10k,scvi_matched,1,l2,high_confidence_shared
pDC,23,24,1.0,1.0,1.0,pbmc5k_to_pbmc10k,scvi_matched,1,l2,high_confidence_shared
B intermediate,66,68,0.7045454545454546,0.45588235294117646,0.5535714285714286,pbmc5k_to_pbmc10k,totalvi,1,l2,high_confidence_shared
B memory,79,99,0.7857142857142857,0.8888888888888888,0.8341232227488151,pbmc5k_to_pbmc10k,totalvi,1,l2,high_confidence_shared
B naive,128,315,0.9478527607361963,0.9809523809523809,0.9641185647425897,pbmc5k_to_pbmc10k,totalvi,1,l2,high_confidence_shared
CD14 Mono,937,1237,0.9262917933130699,0.9854486661277284,0.954954954954955,pbmc5k_to_pbmc10k,totalvi,1,l2,high_confidence_shared
CD16 Mono,131,103,0.9357798165137615,0.9902912621359223,0.9622641509433962,pbmc5k_to_pbmc10k,totalvi,1,l2,high_confidence_shared
CD4 CTL,41,24,0.0,0.0,0.0,pbmc5k_to_pbmc10k,totalvi,1,l2,high_confidence_shared
CD4 Naive,378,795,0.8712206047032475,0.9786163522012579,0.9218009478672986,pbmc5k_to_pbmc10k,totalvi,1,l2,high_confidence_shared
CD4 TCM,327,580,0.7992633517495396,0.7482758620689656,0.7729296527159395,pbmc5k_to_pbmc10k,totalvi,1,l2,high_confidence_shared
CD4 TEM,272,281,0.5216494845360825,0.900355871886121,0.660574412532637,pbmc5k_to_pbmc10k,totalvi,1,l2,high_confidence_shared
CD8 Naive,48,320,0.9395770392749244,0.971875,0.9554531490015361,pbmc5k_to_pbmc10k,totalvi,1,l2,high_confidence_shared
CD8 TCM,34,77,0.6666666666666666,0.33766233766233766,0.4482758620689655,pbmc5k_to_pbmc10k,totalvi,1,l2,high_confidence_shared
CD8 TEM,147,246,0.8663967611336032,0.8699186991869918,0.8681541582150102,pbmc5k_to_pbmc10k,totalvi,1,l2,high_confidence_shared
Eryth,86,144,0.8666666666666667,0.4513888888888889,0.593607305936073,pbmc5k_to_pbmc10k,totalvi,1,l2,high_confidence_shared
ILC,98,65,1.0,0.015384615384615385,0.030303030303030304,pbmc5k_to_pbmc10k,totalvi,1,l2,high_confidence_shared
MAIT,24,356,0.9841269841269841,0.17415730337078653,0.29594272076372313,pbmc5k_to_pbmc10k,totalvi,1,l2,high_confidence_shared
NK,251,760,1.0,0.19736842105263158,0.32967032967032966,pbmc5k_to_pbmc10k,totalvi,1,l2,high_confidence_shared
NK_CD56bright,30,35,0.5,0.11428571428571428,0.18604651162790697,pbmc5k_to_pbmc10k,totalvi,1,l2,high_confidence_shared
Treg,59,241,0.71875,0.3817427385892116,0.4986449864498645,pbmc5k_to_pbmc10k,totalvi,1,l2,high_confidence_shared
cDC2,125,135,0.9829059829059829,0.8518518518518519,0.9126984126984127,pbmc5k_to_pbmc10k,totalvi,1,l2,high_confidence_shared
gdT,71,59,0.04716981132075472,0.7627118644067796,0.08884501480750247,pbmc5k_to_pbmc10k,totalvi,1,l2,high_confidence_shared
pDC,23,24,1.0,0.9583333333333334,0.9787234042553191,pbmc5k_to_pbmc10k,totalvi,1,l2,high_confidence_shared
B,274,493,0.9918367346938776,0.9858012170385395,0.9888097660223805,pbmc5k_to_pbmc10k,scvi_matched,1,l1,high_confidence_shared
CD4 T,1079,1929,0.7685749086479903,0.9813374805598756,0.8620218579234973,pbmc5k_to_pbmc10k,scvi_matched,1,l1,high_confidence_shared
CD8 T,236,653,0.47709320695102686,0.46248085758039814,0.46967340590979784,pbmc5k_to_pbmc10k,scvi_matched,1,l1,high_confidence_shared
DC,151,165,0.940677966101695,0.6727272727272727,0.784452296819788,pbmc5k_to_pbmc10k,scvi_matched,1,l1,high_confidence_shared
Mono,1068,1340,0.9141483516483516,0.9932835820895523,0.952074391988555,pbmc5k_to_pbmc10k,scvi_matched,1,l1,high_confidence_shared
NK,290,812,0.9828850855745721,0.9901477832512315,0.9865030674846625,pbmc5k_to_pbmc10k,scvi_matched,1,l1,high_confidence_shared
other,185,219,0.8764044943820225,0.3561643835616438,0.5064935064935064,pbmc5k_to_pbmc10k,scvi_matched,1,l1,high_confidence_shared
other T,109,491,0.7142857142857143,0.05091649694501019,0.09505703422053231,pbmc5k_to_pbmc10k,scvi_matched,1,l1,high_confidence_shared
B,274,493,0.9939393939393939,0.9979716024340771,0.9959514170040485,pbmc5k_to_pbmc10k,totalvi,1,l1,high_confidence_shared
CD4 T,1079,1929,0.9288168875797742,0.9808190772420944,0.9541099344427635,pbmc5k_to_pbmc10k,totalvi,1,l1,high_confidence_shared
CD8 T,236,653,0.9102773246329527,0.8545176110260337,0.8815165876777251,pbmc5k_to_pbmc10k,totalvi,1,l1,high_confidence_shared
DC,151,165,0.9927536231884058,0.8303030303030303,0.9042904290429042,pbmc5k_to_pbmc10k,totalvi,1,l1,high_confidence_shared
Mono,1068,1340,0.9181568088033012,0.996268656716418,0.9556191839656406,pbmc5k_to_pbmc10k,totalvi,1,l1,high_confidence_shared
NK,290,812,0.992,0.458128078817734,0.6267902274641954,pbmc5k_to_pbmc10k,totalvi,1,l1,high_confidence_shared
other,185,219,0.9322033898305084,0.2511415525114155,0.39568345323741005,pbmc5k_to_pbmc10k,totalvi,1,l1,high_confidence_shared
other T,109,491,0.43609022556390975,0.8268839103869654,0.5710267229254571,pbmc5k_to_pbmc10k,totalvi,1,l1,high_confidence_shared
B intermediate,68,66,0.6901408450704225,0.7424242424242424,0.7153284671532847,pbmc10k_to_pbmc5k,scvi_matched,2,l2,high_confidence_shared
B memory,99,79,0.7857142857142857,0.8354430379746836,0.8098159509202454,pbmc10k_to_pbmc5k,scvi_matched,2,l2,high_confidence_shared
B naive,315,128,0.9915966386554622,0.921875,0.9554655870445344,pbmc10k_to_pbmc5k,scvi_matched,2,l2,high_confidence_shared
CD14 Mono,1237,937,0.9402834008097166,0.991462113127001,0.9651948051948052,pbmc10k_to_pbmc5k,scvi_matched,2,l2,high_confidence_shared
CD16 Mono,103,131,0.9747899159663865,0.8854961832061069,0.928,pbmc10k_to_pbmc5k,scvi_matched,2,l2,high_confidence_shared
CD4 CTL,24,41,0.9047619047619048,0.4634146341463415,0.6129032258064516,pbmc10k_to_pbmc5k,scvi_matched,2,l2,high_confidence_shared
CD4 Naive,795,378,0.8064516129032258,0.7936507936507936,0.8,pbmc10k_to_pbmc5k,scvi_matched,2,l2,high_confidence_shared
CD4 TCM,580,327,0.5369565217391304,0.7553516819571865,0.627700127064803,pbmc10k_to_pbmc5k,scvi_matched,2,l2,high_confidence_shared
CD4 TEM,281,272,0.7677165354330708,0.7169117647058824,0.7414448669201521,pbmc10k_to_pbmc5k,scvi_matched,2,l2,high_confidence_shared
CD8 Naive,320,48,0.746031746031746,0.9791666666666666,0.8468468468468469,pbmc10k_to_pbmc5k,scvi_matched,2,l2,high_confidence_shared
CD8 TCM,77,34,0.35714285714285715,0.4411764705882353,0.39473684210526316,pbmc10k_to_pbmc5k,scvi_matched,2,l2,high_confidence_shared
CD8 TEM,246,147,0.7839506172839507,0.8639455782312925,0.8220064724919094,pbmc10k_to_pbmc5k,scvi_matched,2,l2,high_confidence_shared
Eryth,144,86,0.7454545454545455,0.47674418604651164,0.5815602836879432,pbmc10k_to_pbmc5k,scvi_matched,2,l2,high_confidence_shared
ILC,65,98,0.5555555555555556,0.15306122448979592,0.24,pbmc10k_to_pbmc5k,scvi_matched,2,l2,high_confidence_shared
MAIT,356,24,0.4418604651162791,0.7916666666666666,0.5671641791044776,pbmc10k_to_pbmc5k,scvi_matched,2,l2,high_confidence_shared
NK,760,251,0.916058394160584,1.0,0.9561904761904761,pbmc10k_to_pbmc5k,scvi_matched,2,l2,high_confidence_shared
NK_CD56bright,35,30,1.0,0.8666666666666667,0.9285714285714286,pbmc10k_to_pbmc5k,scvi_matched,2,l2,high_confidence_shared
Treg,241,59,0.7692307692307693,0.1694915254237288,0.2777777777777778,pbmc10k_to_pbmc5k,scvi_matched,2,l2,high_confidence_shared
cDC2,135,125,0.952755905511811,0.968,0.9603174603174603,pbmc10k_to_pbmc5k,scvi_matched,2,l2,high_confidence_shared
dnT,76,14,0.0,0.0,0.0,pbmc10k_to_pbmc5k,scvi_matched,2,l2,high_confidence_shared
gdT,59,71,0.7391304347826086,0.23943661971830985,0.3617021276595745,pbmc10k_to_pbmc5k,scvi_matched,2,l2,high_confidence_shared
pDC,24,23,0.9583333333333334,1.0,0.9787234042553191,pbmc10k_to_pbmc5k,scvi_matched,2,l2,high_confidence_shared
B intermediate,68,66,0.6935483870967742,0.6515151515151515,0.671875,pbmc10k_to_pbmc5k,totalvi,2,l2,high_confidence_shared
B memory,99,79,0.7471264367816092,0.8227848101265823,0.7831325301204819,pbmc10k_to_pbmc5k,totalvi,2,l2,high_confidence_shared
B naive,315,128,0.9838709677419355,0.953125,0.9682539682539683,pbmc10k_to_pbmc5k,totalvi,2,l2,high_confidence_shared
CD14 Mono,1237,937,0.9176470588235294,0.9989327641408752,0.9565661727133368,pbmc10k_to_pbmc5k,totalvi,2,l2,high_confidence_shared
CD16 Mono,103,131,1.0,0.8549618320610687,0.9218106995884774,pbmc10k_to_pbmc5k,totalvi,2,l2,high_confidence_shared
CD4 CTL,24,41,1.0,0.12195121951219512,0.21739130434782608,pbmc10k_to_pbmc5k,totalvi,2,l2,high_confidence_shared
CD4 Naive,795,378,0.7795823665893271,0.8888888888888888,0.830655129789864,pbmc10k_to_pbmc5k,totalvi,2,l2,high_confidence_shared
CD4 TCM,580,327,0.6239782016348774,0.7003058103975535,0.659942363112392,pbmc10k_to_pbmc5k,totalvi,2,l2,high_confidence_shared
CD4 TEM,281,272,0.7012195121951219,0.8455882352941176,0.7666666666666667,pbmc10k_to_pbmc5k,totalvi,2,l2,high_confidence_shared
CD8 Naive,320,48,0.8679245283018868,0.9583333333333334,0.9108910891089109,pbmc10k_to_pbmc5k,totalvi,2,l2,high_confidence_shared
CD8 TCM,77,34,0.5172413793103449,0.4411764705882353,0.47619047619047616,pbmc10k_to_pbmc5k,totalvi,2,l2,high_confidence_shared
CD8 TEM,246,147,0.8615384615384616,0.7619047619047619,0.8086642599277978,pbmc10k_to_pbmc5k,totalvi,2,l2,high_confidence_shared
Eryth,144,86,0.5396825396825397,0.3953488372093023,0.4563758389261745,pbmc10k_to_pbmc5k,totalvi,2,l2,high_confidence_shared
ILC,65,98,0.7391304347826086,0.17346938775510204,0.2809917355371901,pbmc10k_to_pbmc5k,totalvi,2,l2,high_confidence_shared
MAIT,356,24,0.28,0.875,0.42424242424242425,pbmc10k_to_pbmc5k,totalvi,2,l2,high_confidence_shared
NK,760,251,0.922509225092251,0.9960159362549801,0.9578544061302682,pbmc10k_to_pbmc5k,totalvi,2,l2,high_confidence_shared
NK_CD56bright,35,30,0.95,0.6333333333333333,0.76,pbmc10k_to_pbmc5k,totalvi,2,l2,high_confidence_shared
Treg,241,59,0.8571428571428571,0.2033898305084746,0.3287671232876712,pbmc10k_to_pbmc5k,totalvi,2,l2,high_confidence_shared
cDC2,135,125,0.9910714285714286,0.888,0.9367088607594937,pbmc10k_to_pbmc5k,totalvi,2,l2,high_confidence_shared
dnT,76,14,0.6666666666666666,0.14285714285714285,0.23529411764705882,pbmc10k_to_pbmc5k,totalvi,2,l2,high_confidence_shared
gdT,59,71,0.5625,0.1267605633802817,0.20689655172413793,pbmc10k_to_pbmc5k,totalvi,2,l2,high_confidence_shared
pDC,24,23,0.9583333333333334,1.0,0.9787234042553191,pbmc10k_to_pbmc5k,totalvi,2,l2,high_confidence_shared
B,493,274,1.0,0.9963503649635036,0.9981718464351006,pbmc10k_to_pbmc5k,scvi_matched,2,l1,high_confidence_shared
CD4 T,1929,1079,0.9079307201458523,0.9230769230769231,0.9154411764705882,pbmc10k_to_pbmc5k,scvi_matched,2,l1,high_confidence_shared
CD8 T,653,236,0.6891025641025641,0.9110169491525424,0.7846715328467153,pbmc10k_to_pbmc5k,scvi_matched,2,l1,high_confidence_shared
DC,165,151,0.9930555555555556,0.9470198675496688,0.9694915254237289,pbmc10k_to_pbmc5k,scvi_matched,2,l1,high_confidence_shared
Mono,1340,1068,0.9543010752688172,0.9971910112359551,0.9752747252747253,pbmc10k_to_pbmc5k,scvi_matched,2,l1,high_confidence_shared
NK,812,290,0.9288025889967637,0.9896551724137931,0.9582637729549248,pbmc10k_to_pbmc5k,scvi_matched,2,l1,high_confidence_shared
other,219,185,0.8108108108108109,0.32432432432432434,0.46332046332046334,pbmc10k_to_pbmc5k,scvi_matched,2,l1,high_confidence_shared
other T,491,109,0.6417910447761194,0.3944954128440367,0.48863636363636365,pbmc10k_to_pbmc5k,scvi_matched,2,l1,high_confidence_shared
B,493,274,1.0,1.0,1.0,pbmc10k_to_pbmc5k,totalvi,2,l1,high_confidence_shared
CD4 T,1929,1079,0.9066427289048474,0.9360518999073216,0.9211126310989513,pbmc10k_to_pbmc5k,totalvi,2,l1,high_confidence_shared
CD8 T,653,236,0.9148936170212766,0.7288135593220338,0.8113207547169812,pbmc10k_to_pbmc5k,totalvi,2,l1,high_confidence_shared
DC,165,151,0.9928057553956835,0.9139072847682119,0.9517241379310345,pbmc10k_to_pbmc5k,totalvi,2,l1,high_confidence_shared
Mono,1340,1068,0.9392070484581497,0.99812734082397,0.9677712210621879,pbmc10k_to_pbmc5k,totalvi,2,l1,high_confidence_shared
NK,812,290,0.939799331103679,0.9689655172413794,0.9541595925297114,pbmc10k_to_pbmc5k,totalvi,2,l1,high_confidence_shared
other,219,185,0.8260869565217391,0.20540540540540542,0.329004329004329,pbmc10k_to_pbmc5k,totalvi,2,l1,high_confidence_shared
other T,491,109,0.34517766497461927,0.6238532110091743,0.4444444444444444,pbmc10k_to_pbmc5k,totalvi,2,l1,high_confidence_shared
B intermediate,66,68,0.4845360824742268,0.6911764705882353,0.5696969696969697,pbmc5k_to_pbmc10k,scvi_matched,2,l2,high_confidence_shared
B memory,79,99,0.8548387096774194,0.5353535353535354,0.6583850931677019,pbmc5k_to_pbmc10k,scvi_matched,2,l2,high_confidence_shared
B naive,128,315,0.9504643962848297,0.9746031746031746,0.9623824451410659,pbmc5k_to_pbmc10k,scvi_matched,2,l2,high_confidence_shared
CD14 Mono,937,1237,0.9507545671167593,0.967663702506063,0.9591346153846154,pbmc5k_to_pbmc10k,scvi_matched,2,l2,high_confidence_shared
CD16 Mono,131,103,0.8728813559322034,1.0,0.9321266968325792,pbmc5k_to_pbmc10k,scvi_matched,2,l2,high_confidence_shared
CD4 CTL,41,24,0.2222222222222222,0.08333333333333333,0.12121212121212122,pbmc5k_to_pbmc10k,scvi_matched,2,l2,high_confidence_shared
CD4 Naive,378,795,0.7078341013824885,0.9660377358490566,0.8170212765957446,pbmc5k_to_pbmc10k,scvi_matched,2,l2,high_confidence_shared
CD4 TCM,327,580,0.7760141093474426,0.7586206896551724,0.7672188317349607,pbmc5k_to_pbmc10k,scvi_matched,2,l2,high_confidence_shared
CD4 TEM,272,281,0.559228650137741,0.7224199288256228,0.6304347826086957,pbmc5k_to_pbmc10k,scvi_matched,2,l2,high_confidence_shared
CD8 Naive,48,320,0.9214285714285714,0.403125,0.5608695652173913,pbmc5k_to_pbmc10k,scvi_matched,2,l2,high_confidence_shared
CD8 TCM,34,77,0.2857142857142857,0.05194805194805195,0.08791208791208792,pbmc5k_to_pbmc10k,scvi_matched,2,l2,high_confidence_shared
CD8 TEM,147,246,0.4157706093189964,0.943089430894309,0.5771144278606966,pbmc5k_to_pbmc10k,scvi_matched,2,l2,high_confidence_shared
Eryth,86,144,0.7898550724637681,0.7569444444444444,0.7730496453900709,pbmc5k_to_pbmc10k,scvi_matched,2,l2,high_confidence_shared
ILC,98,65,0.75,0.09230769230769231,0.1643835616438356,pbmc5k_to_pbmc10k,scvi_matched,2,l2,high_confidence_shared
MAIT,24,356,0.0,0.0,0.0,pbmc5k_to_pbmc10k,scvi_matched,2,l2,high_confidence_shared
NK,251,760,0.9920844327176781,0.9894736842105263,0.9907773386034255,pbmc5k_to_pbmc10k,scvi_matched,2,l2,high_confidence_shared
NK_CD56bright,30,35,0.9285714285714286,0.7428571428571429,0.8253968253968254,pbmc5k_to_pbmc10k,scvi_matched,2,l2,high_confidence_shared
Treg,59,241,0.5018587360594795,0.5601659751037344,0.5294117647058824,pbmc5k_to_pbmc10k,scvi_matched,2,l2,high_confidence_shared
cDC2,125,135,0.9807692307692307,0.7555555555555555,0.8535564853556485,pbmc5k_to_pbmc10k,scvi_matched,2,l2,high_confidence_shared
gdT,71,59,0.10256410256410256,0.06779661016949153,0.08163265306122448,pbmc5k_to_pbmc10k,scvi_matched,2,l2,high_confidence_shared
pDC,23,24,0.96,1.0,0.9795918367346939,pbmc5k_to_pbmc10k,scvi_matched,2,l2,high_confidence_shared
B intermediate,66,68,0.6086956521739131,0.4117647058823529,0.49122807017543857,pbmc5k_to_pbmc10k,totalvi,2,l2,high_confidence_shared
B memory,79,99,0.7238805970149254,0.9797979797979798,0.8326180257510729,pbmc5k_to_pbmc10k,totalvi,2,l2,high_confidence_shared
B naive,128,315,0.9900332225913622,0.946031746031746,0.9675324675324676,pbmc5k_to_pbmc10k,totalvi,2,l2,high_confidence_shared
CD14 Mono,937,1237,0.977538185085355,0.8795472918350848,0.9259574468085107,pbmc5k_to_pbmc10k,totalvi,2,l2,high_confidence_shared
CD16 Mono,131,103,0.98989898989899,0.9514563106796117,0.9702970297029703,pbmc5k_to_pbmc10k,totalvi,2,l2,high_confidence_shared
CD4 CTL,41,24,1.0,0.08333333333333333,0.15384615384615385,pbmc5k_to_pbmc10k,totalvi,2,l2,high_confidence_shared
CD4 Naive,378,795,0.8698453608247423,0.8490566037735849,0.8593252705283259,pbmc5k_to_pbmc10k,totalvi,2,l2,high_confidence_shared
CD4 TCM,327,580,0.6254777070063694,0.846551724137931,0.7194139194139194,pbmc5k_to_pbmc10k,totalvi,2,l2,high_confidence_shared
CD4 TEM,272,281,0.4206896551724138,0.8683274021352313,0.5667828106852497,pbmc5k_to_pbmc10k,totalvi,2,l2,high_confidence_shared
CD8 Naive,48,320,0.9914529914529915,0.725,0.8375451263537906,pbmc5k_to_pbmc10k,totalvi,2,l2,high_confidence_shared
CD8 TCM,34,77,0.2875,0.2987012987012987,0.2929936305732484,pbmc5k_to_pbmc10k,totalvi,2,l2,high_confidence_shared
CD8 TEM,147,246,0.9722222222222222,0.7113821138211383,0.8215962441314554,pbmc5k_to_pbmc10k,totalvi,2,l2,high_confidence_shared
Eryth,86,144,0.48056537102473496,0.9444444444444444,0.6370023419203747,pbmc5k_to_pbmc10k,totalvi,2,l2,high_confidence_shared
ILC,98,65,0.4883720930232558,0.3230769230769231,0.3888888888888889,pbmc5k_to_pbmc10k,totalvi,2,l2,high_confidence_shared
MAIT,24,356,1.0,0.24157303370786518,0.3891402714932127,pbmc5k_to_pbmc10k,totalvi,2,l2,high_confidence_shared
NK,251,760,0.9921156373193167,0.993421052631579,0.9927679158448389,pbmc5k_to_pbmc10k,totalvi,2,l2,high_confidence_shared
NK_CD56bright,30,35,0.9354838709677419,0.8285714285714286,0.8787878787878788,pbmc5k_to_pbmc10k,totalvi,2,l2,high_confidence_shared
Treg,59,241,0.7333333333333333,0.31950207468879666,0.44508670520231214,pbmc5k_to_pbmc10k,totalvi,2,l2,high_confidence_shared
cDC2,125,135,0.9448818897637795,0.8888888888888888,0.916030534351145,pbmc5k_to_pbmc10k,totalvi,2,l2,high_confidence_shared
gdT,71,59,0.1896551724137931,0.559322033898305,0.2832618025751073,pbmc5k_to_pbmc10k,totalvi,2,l2,high_confidence_shared
pDC,23,24,1.0,1.0,1.0,pbmc5k_to_pbmc10k,totalvi,2,l2,high_confidence_shared
B,274,493,0.9979423868312757,0.9837728194726166,0.9908069458631257,pbmc5k_to_pbmc10k,scvi_matched,2,l1,high_confidence_shared
CD4 T,1079,1929,0.7611044417767107,0.9860031104199067,0.8590785907859079,pbmc5k_to_pbmc10k,scvi_matched,2,l1,high_confidence_shared
CD8 T,236,653,0.5610687022900763,0.450229709035222,0.4995751911639762,pbmc5k_to_pbmc10k,scvi_matched,2,l1,high_confidence_shared
DC,151,165,0.9389312977099237,0.7454545454545455,0.831081081081081,pbmc5k_to_pbmc10k,scvi_matched,2,l1,high_confidence_shared
Mono,1068,1340,0.944364161849711,0.9753731343283583,0.959618208516887,pbmc5k_to_pbmc10k,scvi_matched,2,l1,high_confidence_shared
NK,290,812,0.965352449223417,0.9950738916256158,0.9799878714372346,pbmc5k_to_pbmc10k,scvi_matched,2,l1,high_confidence_shared
other,185,219,0.7718120805369127,0.5251141552511416,0.625,pbmc5k_to_pbmc10k,scvi_matched,2,l1,high_confidence_shared
other T,109,491,0.9456521739130435,0.17718940936863545,0.29845626072041165,pbmc5k_to_pbmc10k,scvi_matched,2,l1,high_confidence_shared
B,274,493,0.9918864097363083,0.9918864097363083,0.9918864097363083,pbmc5k_to_pbmc10k,totalvi,2,l1,high_confidence_shared
CD4 T,1079,1929,0.8814192343604108,0.9787454639709694,0.927536231884058,pbmc5k_to_pbmc10k,totalvi,2,l1,high_confidence_shared
CD8 T,236,653,0.9508547008547008,0.6814701378254211,0.7939339875111507,pbmc5k_to_pbmc10k,totalvi,2,l1,high_confidence_shared
DC,151,165,0.8806818181818182,0.9393939393939394,0.9090909090909091,pbmc5k_to_pbmc10k,totalvi,2,l1,high_confidence_shared
Mono,1068,1340,0.9855810008481765,0.8671641791044776,0.9225883287018658,pbmc5k_to_pbmc10k,totalvi,2,l1,high_confidence_shared
NK,290,812,0.990159901599016,0.9913793103448276,0.9907692307692307,pbmc5k_to_pbmc10k,totalvi,2,l1,high_confidence_shared
other,185,219,0.4606741573033708,0.7488584474885844,0.5704347826086956,pbmc5k_to_pbmc10k,totalvi,2,l1,high_confidence_shared
other T,109,491,0.7978947368421052,0.7718940936863544,0.7846790890269151,pbmc5k_to_pbmc10k,totalvi,2,l1,high_confidence_shared
B intermediate,68,66,0.7735849056603774,0.6212121212121212,0.6890756302521008,pbmc10k_to_pbmc5k,scvi_matched,3,l2,high_confidence_shared
B memory,99,79,0.7701149425287356,0.8481012658227848,0.8072289156626506,pbmc10k_to_pbmc5k,scvi_matched,3,l2,high_confidence_shared
B naive,315,128,0.8811188811188811,0.984375,0.9298892988929889,pbmc10k_to_pbmc5k,scvi_matched,3,l2,high_confidence_shared
CD14 Mono,1237,937,0.9508196721311475,0.9903948772678762,0.9702038682697334,pbmc10k_to_pbmc5k,scvi_matched,3,l2,high_confidence_shared
CD16 Mono,103,131,0.9833333333333333,0.9007633587786259,0.9402390438247012,pbmc10k_to_pbmc5k,scvi_matched,3,l2,high_confidence_shared
CD4 CTL,24,41,1.0,0.07317073170731707,0.13636363636363635,pbmc10k_to_pbmc5k,scvi_matched,3,l2,high_confidence_shared
CD4 Naive,795,378,0.8445945945945946,0.6613756613756614,0.7418397626112759,pbmc10k_to_pbmc5k,scvi_matched,3,l2,high_confidence_shared
CD4 TCM,580,327,0.5246913580246914,0.7798165137614679,0.6273062730627307,pbmc10k_to_pbmc5k,scvi_matched,3,l2,high_confidence_shared
CD4 TEM,281,272,0.7326007326007326,0.7352941176470589,0.7339449541284404,pbmc10k_to_pbmc5k,scvi_matched,3,l2,high_confidence_shared
CD8 Naive,320,48,0.6714285714285714,0.9791666666666666,0.7966101694915254,pbmc10k_to_pbmc5k,scvi_matched,3,l2,high_confidence_shared
CD8 TCM,77,34,0.3103448275862069,0.2647058823529412,0.2857142857142857,pbmc10k_to_pbmc5k,scvi_matched,3,l2,high_confidence_shared
CD8 TEM,246,147,0.816,0.6938775510204082,0.75,pbmc10k_to_pbmc5k,scvi_matched,3,l2,high_confidence_shared
Eryth,144,86,0.704225352112676,0.5813953488372093,0.6369426751592356,pbmc10k_to_pbmc5k,scvi_matched,3,l2,high_confidence_shared
ILC,65,98,0.5454545454545454,0.24489795918367346,0.3380281690140845,pbmc10k_to_pbmc5k,scvi_matched,3,l2,high_confidence_shared
MAIT,356,24,0.3888888888888889,0.875,0.5384615384615384,pbmc10k_to_pbmc5k,scvi_matched,3,l2,high_confidence_shared
NK,760,251,0.9087591240875912,0.9920318725099602,0.9485714285714286,pbmc10k_to_pbmc5k,scvi_matched,3,l2,high_confidence_shared
NK_CD56bright,35,30,0.8666666666666667,0.8666666666666667,0.8666666666666667,pbmc10k_to_pbmc5k,scvi_matched,3,l2,high_confidence_shared
Treg,241,59,0.6388888888888888,0.3898305084745763,0.4842105263157895,pbmc10k_to_pbmc5k,scvi_matched,3,l2,high_confidence_shared
cDC2,135,125,0.937007874015748,0.952,0.9444444444444444,pbmc10k_to_pbmc5k,scvi_matched,3,l2,high_confidence_shared
dnT,76,14,0.14285714285714285,0.07142857142857142,0.09523809523809523,pbmc10k_to_pbmc5k,scvi_matched,3,l2,high_confidence_shared
gdT,59,71,0.5365853658536586,0.30985915492957744,0.39285714285714285,pbmc10k_to_pbmc5k,scvi_matched,3,l2,high_confidence_shared
pDC,24,23,0.9583333333333334,1.0,0.9787234042553191,pbmc10k_to_pbmc5k,scvi_matched,3,l2,high_confidence_shared
B intermediate,68,66,0.7391304347826086,0.7727272727272727,0.7555555555555555,pbmc10k_to_pbmc5k,totalvi,3,l2,high_confidence_shared
B memory,99,79,0.8493150684931506,0.7848101265822784,0.8157894736842105,pbmc10k_to_pbmc5k,totalvi,3,l2,high_confidence_shared
B naive,315,128,0.9618320610687023,0.984375,0.972972972972973,pbmc10k_to_pbmc5k,totalvi,3,l2,high_confidence_shared
CD14 Mono,1237,937,0.9412360688956434,0.991462113127001,0.9656964656964657,pbmc10k_to_pbmc5k,totalvi,3,l2,high_confidence_shared
CD16 Mono,103,131,0.9612403100775194,0.9465648854961832,0.9538461538461539,pbmc10k_to_pbmc5k,totalvi,3,l2,high_confidence_shared
CD4 CTL,24,41,0.5,0.12195121951219512,0.19607843137254902,pbmc10k_to_pbmc5k,totalvi,3,l2,high_confidence_shared
CD4 Naive,795,378,0.7692307692307693,0.8994708994708994,0.8292682926829268,pbmc10k_to_pbmc5k,totalvi,3,l2,high_confidence_shared
CD4 TCM,580,327,0.578005115089514,0.691131498470948,0.6295264623955432,pbmc10k_to_pbmc5k,totalvi,3,l2,high_confidence_shared
CD4 TEM,281,272,0.6532951289398281,0.8382352941176471,0.7342995169082126,pbmc10k_to_pbmc5k,totalvi,3,l2,high_confidence_shared
CD8 Naive,320,48,0.8113207547169812,0.8958333333333334,0.8514851485148515,pbmc10k_to_pbmc5k,totalvi,3,l2,high_confidence_shared
CD8 TCM,77,34,0.8181818181818182,0.2647058823529412,0.4,pbmc10k_to_pbmc5k,totalvi,3,l2,high_confidence_shared
CD8 TEM,246,147,0.925,0.7551020408163265,0.8314606741573034,pbmc10k_to_pbmc5k,totalvi,3,l2,high_confidence_shared
Eryth,144,86,0.5540540540540541,0.47674418604651164,0.5125,pbmc10k_to_pbmc5k,totalvi,3,l2,high_confidence_shared
ILC,65,98,0.8,0.04081632653061224,0.07766990291262135,pbmc10k_to_pbmc5k,totalvi,3,l2,high_confidence_shared
MAIT,356,24,0.36,0.75,0.4864864864864865,pbmc10k_to_pbmc5k,totalvi,3,l2,high_confidence_shared
NK,760,251,0.899641577060932,1.0,0.9471698113207547,pbmc10k_to_pbmc5k,totalvi,3,l2,high_confidence_shared
NK_CD56bright,35,30,0.95,0.6333333333333333,0.76,pbmc10k_to_pbmc5k,totalvi,3,l2,high_confidence_shared
Treg,241,59,1.0,0.05084745762711865,0.0967741935483871,pbmc10k_to_pbmc5k,totalvi,3,l2,high_confidence_shared
cDC2,135,125,1.0,0.944,0.9711934156378601,pbmc10k_to_pbmc5k,totalvi,3,l2,high_confidence_shared
