2026-09-08 23:41:02,339 | INFO | phase11b | stage=seeds jobs=16 pending=16 start=2026-09-08T13:41:02.339580+00:00
2026-09-09 00:00:53,956 | INFO | phase11b | === direction_A__totalvi__seed03 (source n=6855 target n=3994) ===
2026-09-09 00:05:12,342 | INFO | phase11b | direction_A__totalvi__seed03 done: src_ep=190 q_ep=200 runtime=255s drift_mean=0.016972 integrity=0.00e+00 u_latent=0.02494
2026-09-09 00:05:12,646 | INFO | phase11b | RAM available 3297 MB (57.7% used)
2026-09-09 00:05:12,646 | INFO | phase11b | === direction_A__totalvi__seed04 (source n=6855 target n=3994) ===
2026-09-09 00:09:55,351 | INFO | phase11b | direction_A__totalvi__seed04 done: src_ep=200 q_ep=200 runtime=279s drift_mean=0.018358 integrity=0.00e+00 u_latent=0.02626
2026-09-09 00:09:55,665 | INFO | phase11b | RAM available 2958 MB (62.0% used)
2026-09-09 00:09:55,817 | INFO | phase11b | loading direction_B (PBMC5k -> PBMC10k)
2026-09-09 00:10:00,185 | INFO | phase11b | === direction_B__scvi_matched__seed01 (source n=3994 target n=6855) ===
2026-09-09 00:12:37,307 | INFO | phase11b | direction_B__scvi_matched__seed01 done: src_ep=200 q_ep=200 runtime=155s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.08998
2026-09-09 00:12:37,615 | INFO | phase11b | RAM available 2702 MB (65.3% used)
2026-09-09 00:12:37,615 | INFO | phase11b | === direction_B__scvi_matched__seed02 (source n=3994 target n=6855) ===
2026-09-09 00:15:02,415 | INFO | phase11b | direction_B__scvi_matched__seed02 done: src_ep=200 q_ep=175 runtime=143s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.11125
2026-09-09 00:15:02,720 | INFO | phase11b | RAM available 2383 MB (69.4% used)
2026-09-09 00:15:02,720 | INFO | phase11b | === direction_B__scvi_matched__seed03 (source n=3994 target n=6855) ===
2026-09-09 11:30:18,187 | INFO | phase11b | stage=seeds jobs=16 pending=6 start=2026-09-09T01:30:18.187106+00:00
2026-09-09 11:30:18,187 | INFO | phase11b | loading direction_A (PBMC10k -> PBMC5k)
2026-09-09 11:30:23,855 | INFO | phase11b | skip (done): direction_A__scvi_matched__seed01
2026-09-09 11:30:24,005 | INFO | phase11b | RAM available 6273 MB (19.5% used)
2026-09-09 11:30:24,007 | INFO | phase11b | skip (done): direction_A__scvi_matched__seed02
2026-09-09 11:30:24,151 | INFO | phase11b | RAM available 6273 MB (19.5% used)
2026-09-09 11:30:24,153 | INFO | phase11b | skip (done): direction_A__scvi_matched__seed03
2026-09-09 11:30:24,302 | INFO | phase11b | RAM available 6273 MB (19.5% used)
2026-09-09 11:30:24,304 | INFO | phase11b | skip (done): direction_A__scvi_matched__seed04
2026-09-09 11:30:24,453 | INFO | phase11b | RAM available 6273 MB (19.5% used)
2026-09-09 11:30:24,454 | INFO | phase11b | skip (done): direction_A__totalvi__seed01
2026-09-09 11:30:24,601 | INFO | phase11b | RAM available 6273 MB (19.5% used)
2026-09-09 11:30:24,602 | INFO | phase11b | skip (done): direction_A__totalvi__seed02
2026-09-09 11:30:24,751 | INFO | phase11b | RAM available 6275 MB (19.5% used)
2026-09-09 11:30:24,752 | INFO | phase11b | skip (done): direction_A__totalvi__seed03
2026-09-09 11:30:24,900 | INFO | phase11b | RAM available 6293 MB (19.2% used)
2026-09-09 11:30:24,902 | INFO | phase11b | skip (done): direction_A__totalvi__seed04
2026-09-09 11:30:25,049 | INFO | phase11b | RAM available 6293 MB (19.2% used)
2026-09-09 11:30:25,198 | INFO | phase11b | loading direction_B (PBMC5k -> PBMC10k)
2026-09-09 11:30:29,176 | INFO | phase11b | skip (done): direction_B__scvi_matched__seed01
2026-09-09 11:30:29,325 | INFO | phase11b | RAM available 6199 MB (20.5% used)
2026-09-09 11:30:29,327 | INFO | phase11b | skip (done): direction_B__scvi_matched__seed02
2026-09-09 11:30:29,474 | INFO | phase11b | RAM available 6199 MB (20.5% used)
2026-09-09 11:30:29,475 | INFO | phase11b | === direction_B__scvi_matched__seed03 (source n=3994 target n=6855) ===
2026-09-09 11:33:11,672 | INFO | phase11b | direction_B__scvi_matched__seed03 done: src_ep=200 q_ep=200 runtime=159s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.09529
2026-09-09 11:33:11,967 | INFO | phase11b | RAM available 5396 MB (30.8% used)
2026-09-09 11:33:11,967 | INFO | phase11b | === direction_B__scvi_matched__seed04 (source n=3994 target n=6855) ===
2026-09-09 11:35:54,431 | INFO | phase11b | direction_B__scvi_matched__seed04 done: src_ep=200 q_ep=200 runtime=160s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.07699
2026-09-09 11:35:54,731 | INFO | phase11b | RAM available 5083 MB (34.8% used)
2026-09-09 11:35:54,732 | INFO | phase11b | === direction_B__totalvi__seed01 (source n=3994 target n=6855) ===
2026-09-09 11:40:33,982 | INFO | phase11b | direction_B__totalvi__seed01 done: src_ep=200 q_ep=200 runtime=276s drift_mean=0.019960 integrity=0.00e+00 u_latent=0.04617
2026-09-09 11:40:34,280 | INFO | phase11b | RAM available 4518 MB (42.0% used)
2026-09-09 11:40:34,280 | INFO | phase11b | === direction_B__totalvi__seed02 (source n=3994 target n=6855) ===
2026-09-09 11:45:07,927 | INFO | phase11b | direction_B__totalvi__seed02 done: src_ep=200 q_ep=200 runtime=270s drift_mean=0.014999 integrity=0.00e+00 u_latent=0.04782
2026-09-09 11:45:08,222 | INFO | phase11b | RAM available 4227 MB (45.8% used)
2026-09-09 11:45:08,222 | INFO | phase11b | === direction_B__totalvi__seed03 (source n=3994 target n=6855) ===
2026-09-09 11:49:48,295 | INFO | phase11b | direction_B__totalvi__seed03 done: src_ep=200 q_ep=200 runtime=277s drift_mean=0.016673 integrity=0.00e+00 u_latent=0.04709
2026-09-09 11:49:48,597 | INFO | phase11b | RAM available 3842 MB (50.7% used)
2026-09-09 11:49:48,597 | INFO | phase11b | === direction_B__totalvi__seed04 (source n=3994 target n=6855) ===
2026-09-09 11:54:31,114 | INFO | phase11b | direction_B__totalvi__seed04 done: src_ep=200 q_ep=200 runtime=279s drift_mean=0.015373 integrity=0.00e+00 u_latent=0.04940
2026-09-09 11:54:31,422 | INFO | phase11b | RAM available 3676 MB (52.8% used)
2026-09-09 11:54:31,585 | INFO | phase11b | stage seeds finished: 16 completed, 0 failed
2026-09-09 11:56:47,306 | INFO | phase11b | stage=seeds jobs=60 pending=60 start=2026-09-09T01:56:47.306334+00:00
2026-09-09 11:56:47,306 | INFO | phase11b | loading direction_A (PBMC10k -> PBMC5k)
2026-09-09 11:56:52,771 | INFO | phase11b | === direction_A__scvi_matched__seed05 (source n=6855 target n=3994) ===
2026-09-09 11:59:42,342 | INFO | phase11b | direction_A__scvi_matched__seed05 done: src_ep=200 q_ep=200 runtime=167s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.13035
2026-09-09 11:59:42,641 | INFO | phase11b | RAM available 5377 MB (31.0% used)
2026-09-09 11:59:42,641 | INFO | phase11b | === direction_A__scvi_matched__seed06 (source n=6855 target n=3994) ===
2026-09-09 12:02:34,213 | INFO | phase11b | direction_A__scvi_matched__seed06 done: src_ep=200 q_ep=200 runtime=169s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.13616
2026-09-09 12:02:34,514 | INFO | phase11b | RAM available 5047 MB (35.2% used)
2026-09-09 12:02:34,515 | INFO | phase11b | === direction_A__scvi_matched__seed07 (source n=6855 target n=3994) ===
2026-09-09 12:05:24,382 | INFO | phase11b | direction_A__scvi_matched__seed07 done: src_ep=200 q_ep=200 runtime=168s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.11762
2026-09-09 12:05:24,677 | INFO | phase11b | RAM available 4712 MB (39.5% used)
2026-09-09 12:05:24,677 | INFO | phase11b | === direction_A__scvi_matched__seed08 (source n=6855 target n=3994) ===
2026-09-09 12:08:16,385 | INFO | phase11b | direction_A__scvi_matched__seed08 done: src_ep=200 q_ep=200 runtime=170s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.12372
2026-09-09 12:08:16,681 | INFO | phase11b | RAM available 4419 MB (43.3% used)
2026-09-09 12:08:16,682 | INFO | phase11b | === direction_A__scvi_matched__seed09 (source n=6855 target n=3994) ===
2026-09-09 12:11:07,133 | INFO | phase11b | direction_A__scvi_matched__seed09 done: src_ep=200 q_ep=200 runtime=168s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.12579
2026-09-09 12:11:07,432 | INFO | phase11b | RAM available 4122 MB (47.1% used)
2026-09-09 12:11:07,432 | INFO | phase11b | === direction_A__scvi_matched__seed10 (source n=6855 target n=3994) ===
2026-09-09 12:14:00,107 | INFO | phase11b | direction_A__scvi_matched__seed10 done: src_ep=200 q_ep=200 runtime=170s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.12173
2026-09-09 12:14:00,409 | INFO | phase11b | RAM available 3823 MB (50.9% used)
2026-09-09 12:14:00,409 | INFO | phase11b | === direction_A__scvi_matched__seed11 (source n=6855 target n=3994) ===
2026-09-09 12:16:52,158 | INFO | phase11b | direction_A__scvi_matched__seed11 done: src_ep=200 q_ep=200 runtime=169s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.15392
2026-09-09 12:16:52,460 | INFO | phase11b | RAM available 3508 MB (55.0% used)
2026-09-09 12:16:52,460 | INFO | phase11b | === direction_A__scvi_matched__seed12 (source n=6855 target n=3994) ===
2026-09-09 12:19:43,652 | INFO | phase11b | direction_A__scvi_matched__seed12 done: src_ep=200 q_ep=200 runtime=169s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.15339
2026-09-09 12:19:43,952 | INFO | phase11b | RAM available 3259 MB (58.2% used)
2026-09-09 12:19:43,953 | INFO | phase11b | === direction_A__scvi_matched__seed13 (source n=6855 target n=3994) ===
2026-09-09 12:22:35,415 | INFO | phase11b | direction_A__scvi_matched__seed13 done: src_ep=200 q_ep=200 runtime=169s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.07510
2026-09-09 12:22:35,719 | INFO | phase11b | RAM available 2983 MB (61.7% used)
2026-09-09 12:22:35,719 | INFO | phase11b | === direction_A__scvi_matched__seed14 (source n=6855 target n=3994) ===
2026-09-09 12:25:26,237 | INFO | phase11b | direction_A__scvi_matched__seed14 done: src_ep=200 q_ep=200 runtime=168s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.07368
2026-09-09 12:25:26,543 | INFO | phase11b | RAM available 2664 MB (65.8% used)
2026-09-09 12:25:26,543 | INFO | phase11b | === direction_A__scvi_matched__seed15 (source n=6855 target n=3994) ===
2026-09-09 12:28:18,193 | INFO | phase11b | direction_A__scvi_matched__seed15 done: src_ep=200 q_ep=200 runtime=169s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.13277
2026-09-09 12:28:18,505 | INFO | phase11b | RAM available 2397 MB (69.2% used)
2026-09-09 12:28:18,505 | INFO | phase11b | === direction_A__scvi_matched__seed16 (source n=6855 target n=3994) ===
2026-09-09 12:31:10,293 | INFO | phase11b | direction_A__scvi_matched__seed16 done: src_ep=200 q_ep=200 runtime=169s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.08685
2026-09-09 12:31:10,598 | INFO | phase11b | RAM available 2080 MB (73.3% used)
2026-09-09 12:31:10,598 | INFO | phase11b | === direction_A__scvi_matched__seed17 (source n=6855 target n=3994) ===
2026-09-09 12:34:05,208 | INFO | phase11b | direction_A__scvi_matched__seed17 done: src_ep=200 q_ep=200 runtime=172s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.12719
2026-09-09 12:34:05,522 | INFO | phase11b | RAM available 1777 MB (77.2% used)
2026-09-09 12:34:05,522 | INFO | phase11b | === direction_A__scvi_matched__seed18 (source n=6855 target n=3994) ===
2026-09-09 12:36:57,586 | INFO | phase11b | direction_A__scvi_matched__seed18 done: src_ep=200 q_ep=200 runtime=170s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.13089
2026-09-09 12:36:57,893 | INFO | phase11b | RAM available 1510 MB (80.6% used)
2026-09-09 12:36:57,893 | INFO | phase11b | === direction_A__scvi_matched__seed19 (source n=6855 target n=3994) ===
2026-09-09 12:39:49,708 | INFO | phase11b | direction_A__scvi_matched__seed19 done: src_ep=200 q_ep=200 runtime=169s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.05716
2026-09-09 12:39:50,016 | INFO | phase11b | RAM available 1201 MB (84.6% used)
2026-09-09 12:39:50,017 | INFO | phase11b | === direction_A__totalvi__seed05 (source n=6855 target n=3994) ===
2026-09-09 12:44:23,980 | INFO | phase11b | direction_A__totalvi__seed05 done: src_ep=185 q_ep=200 runtime=270s drift_mean=0.013797 integrity=0.00e+00 u_latent=0.02550
2026-09-09 12:44:24,297 | INFO | phase11b | RAM available 903 MB (88.4% used)
2026-09-09 12:44:24,299 | INFO | phase11b | === direction_A__totalvi__seed06 (source n=6855 target n=3994) ===
2026-09-09 12:49:11,545 | INFO | phase11b | direction_A__totalvi__seed06 done: src_ep=200 q_ep=200 runtime=284s drift_mean=0.016539 integrity=0.00e+00 u_latent=0.02791
2026-09-09 12:49:11,857 | INFO | phase11b | RAM available 849 MB (89.1% used)
2026-09-09 12:49:11,861 | INFO | phase11b | === direction_A__totalvi__seed07 (source n=6855 target n=3994) ===
2026-09-09 12:53:50,595 | INFO | phase11b | direction_A__totalvi__seed07 done: src_ep=197 q_ep=200 runtime=275s drift_mean=0.015682 integrity=0.00e+00 u_latent=0.02367
2026-09-09 12:53:50,909 | INFO | phase11b | RAM available 659 MB (91.5% used)
2026-09-09 12:53:50,909 | INFO | phase11b | === direction_A__totalvi__seed08 (source n=6855 target n=3994) ===
2026-09-09 12:58:38,164 | INFO | phase11b | direction_A__totalvi__seed08 done: src_ep=200 q_ep=200 runtime=284s drift_mean=0.015832 integrity=0.00e+00 u_latent=0.02597
2026-09-09 12:58:38,476 | INFO | phase11b | RAM available 1592 MB (79.6% used)
2026-09-09 12:58:38,484 | INFO | phase11b | === direction_A__totalvi__seed09 (source n=6855 target n=3994) ===
2026-09-09 13:03:35,258 | INFO | phase11b | stage=seeds jobs=60 pending=41 start=2026-09-09T03:03:35.258709+00:00
2026-09-09 13:03:35,258 | INFO | phase11b | loading direction_A (PBMC10k -> PBMC5k)
2026-09-09 13:03:40,695 | INFO | phase11b | skip (done): direction_A__scvi_matched__seed05
2026-09-09 13:03:40,838 | INFO | phase11b | skip (done): direction_A__scvi_matched__seed06
2026-09-09 13:03:40,985 | INFO | phase11b | skip (done): direction_A__scvi_matched__seed07
2026-09-09 13:03:41,125 | INFO | phase11b | skip (done): direction_A__scvi_matched__seed08
2026-09-09 13:03:41,271 | INFO | phase11b | skip (done): direction_A__scvi_matched__seed09
2026-09-09 13:03:41,417 | INFO | phase11b | skip (done): direction_A__scvi_matched__seed10
2026-09-09 13:03:41,565 | INFO | phase11b | skip (done): direction_A__scvi_matched__seed11
2026-09-09 13:03:41,714 | INFO | phase11b | skip (done): direction_A__scvi_matched__seed12
2026-09-09 13:03:41,862 | INFO | phase11b | skip (done): direction_A__scvi_matched__seed13
2026-09-09 13:03:42,011 | INFO | phase11b | skip (done): direction_A__scvi_matched__seed14
2026-09-09 13:03:42,164 | INFO | phase11b | skip (done): direction_A__scvi_matched__seed15
2026-09-09 13:03:42,315 | INFO | phase11b | skip (done): direction_A__scvi_matched__seed16
2026-09-09 13:03:42,464 | INFO | phase11b | skip (done): direction_A__scvi_matched__seed17
2026-09-09 13:03:42,610 | INFO | phase11b | skip (done): direction_A__scvi_matched__seed18
2026-09-09 13:03:42,756 | INFO | phase11b | skip (done): direction_A__scvi_matched__seed19
2026-09-09 13:03:42,912 | INFO | phase11b | skip (done): direction_A__totalvi__seed05
2026-09-09 13:03:43,060 | INFO | phase11b | skip (done): direction_A__totalvi__seed06
2026-09-09 13:03:43,205 | INFO | phase11b | skip (done): direction_A__totalvi__seed07
2026-09-09 13:03:43,351 | INFO | phase11b | skip (done): direction_A__totalvi__seed08
2026-09-09 13:03:43,493 | INFO | phase11b | === direction_A__totalvi__seed09 (source n=6855 target n=3994) ===
2026-09-09 13:08:17,924 | INFO | phase11b | direction_A__totalvi__seed09 done: src_ep=200 q_ep=200 runtime=270s drift_mean=0.017878 integrity=0.00e+00 u_latent=0.02521 ram_avail=5304MB
2026-09-09 13:08:18,071 | INFO | phase11b | === direction_A__totalvi__seed10 (source n=6855 target n=3994) ===
2026-09-09 13:12:52,968 | INFO | phase11b | direction_A__totalvi__seed10 done: src_ep=199 q_ep=200 runtime=271s drift_mean=0.019495 integrity=0.00e+00 u_latent=0.02980 ram_avail=5436MB
2026-09-09 13:12:53,116 | INFO | phase11b | === direction_A__totalvi__seed11 (source n=6855 target n=3994) ===
2026-09-09 13:17:33,259 | INFO | phase11b | direction_A__totalvi__seed11 done: src_ep=200 q_ep=200 runtime=277s drift_mean=0.020806 integrity=0.00e+00 u_latent=0.02725 ram_avail=5428MB
2026-09-09 13:17:33,403 | INFO | phase11b | === direction_A__totalvi__seed12 (source n=6855 target n=3994) ===
2026-09-09 13:22:12,236 | INFO | phase11b | direction_A__totalvi__seed12 done: src_ep=200 q_ep=200 runtime=275s drift_mean=0.016928 integrity=0.00e+00 u_latent=0.02580 ram_avail=5433MB
2026-09-09 13:22:12,382 | INFO | phase11b | === direction_A__totalvi__seed13 (source n=6855 target n=3994) ===
2026-09-09 13:26:34,419 | INFO | phase11b | direction_A__totalvi__seed13 done: src_ep=180 q_ep=200 runtime=258s drift_mean=0.019217 integrity=0.00e+00 u_latent=0.02615 ram_avail=5281MB
2026-09-09 13:26:34,567 | INFO | phase11b | === direction_A__totalvi__seed14 (source n=6855 target n=3994) ===
2026-09-09 13:31:11,513 | INFO | phase11b | direction_A__totalvi__seed14 done: src_ep=200 q_ep=200 runtime=274s drift_mean=0.015090 integrity=0.00e+00 u_latent=0.02489 ram_avail=5407MB
2026-09-09 13:31:11,655 | INFO | phase11b | === direction_A__totalvi__seed15 (source n=6855 target n=3994) ===
2026-09-09 13:35:44,585 | INFO | phase11b | direction_A__totalvi__seed15 done: src_ep=196 q_ep=200 runtime=269s drift_mean=0.014569 integrity=0.00e+00 u_latent=0.02356 ram_avail=5259MB
2026-09-09 13:35:44,737 | INFO | phase11b | === direction_A__totalvi__seed16 (source n=6855 target n=3994) ===
2026-09-09 13:40:23,836 | INFO | phase11b | direction_A__totalvi__seed16 done: src_ep=200 q_ep=200 runtime=276s drift_mean=0.017582 integrity=0.00e+00 u_latent=0.02453 ram_avail=5222MB
2026-09-09 13:40:23,984 | INFO | phase11b | === direction_A__totalvi__seed17 (source n=6855 target n=3994) ===
2026-09-09 13:45:01,914 | INFO | phase11b | direction_A__totalvi__seed17 done: src_ep=200 q_ep=200 runtime=275s drift_mean=0.016687 integrity=0.00e+00 u_latent=0.02452 ram_avail=5196MB
2026-09-09 13:45:02,059 | INFO | phase11b | === direction_A__totalvi__seed18 (source n=6855 target n=3994) ===
2026-09-09 13:49:40,110 | INFO | phase11b | direction_A__totalvi__seed18 done: src_ep=200 q_ep=200 runtime=275s drift_mean=0.014673 integrity=0.00e+00 u_latent=0.02619 ram_avail=5242MB
2026-09-09 13:49:40,261 | INFO | phase11b | === direction_A__totalvi__seed19 (source n=6855 target n=3994) ===
2026-09-09 13:54:19,201 | INFO | phase11b | direction_A__totalvi__seed19 done: src_ep=200 q_ep=200 runtime=276s drift_mean=0.018351 integrity=0.00e+00 u_latent=0.02825 ram_avail=5398MB
2026-09-09 13:54:19,518 | INFO | phase11b | loading direction_B (PBMC5k -> PBMC10k)
2026-09-09 13:54:23,687 | INFO | phase11b | === direction_B__scvi_matched__seed05 (source n=3994 target n=6855) ===
2026-09-09 13:56:57,011 | INFO | phase11b | direction_B__scvi_matched__seed05 done: src_ep=200 q_ep=184 runtime=151s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.07451 ram_avail=5373MB
2026-09-09 13:56:57,160 | INFO | phase11b | === direction_B__scvi_matched__seed06 (source n=3994 target n=6855) ===
2026-09-09 13:59:38,498 | INFO | phase11b | direction_B__scvi_matched__seed06 done: src_ep=200 q_ep=200 runtime=159s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.10143 ram_avail=5369MB
2026-09-09 13:59:38,646 | INFO | phase11b | === direction_B__scvi_matched__seed07 (source n=3994 target n=6855) ===
2026-09-09 14:02:19,368 | INFO | phase11b | direction_B__scvi_matched__seed07 done: src_ep=200 q_ep=200 runtime=159s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.08948 ram_avail=5355MB
2026-09-09 14:02:19,508 | INFO | phase11b | === direction_B__scvi_matched__seed08 (source n=3994 target n=6855) ===
2026-09-09 14:04:32,653 | INFO | phase11b | direction_B__scvi_matched__seed08 done: src_ep=200 q_ep=136 runtime=131s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.09914 ram_avail=5315MB
2026-09-09 14:04:32,799 | INFO | phase11b | === direction_B__scvi_matched__seed09 (source n=3994 target n=6855) ===
2026-09-09 14:07:13,725 | INFO | phase11b | direction_B__scvi_matched__seed09 done: src_ep=200 q_ep=200 runtime=159s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.08526 ram_avail=5290MB
2026-09-09 14:07:13,872 | INFO | phase11b | === direction_B__scvi_matched__seed10 (source n=3994 target n=6855) ===
2026-09-09 14:09:56,543 | INFO | phase11b | direction_B__scvi_matched__seed10 done: src_ep=200 q_ep=200 runtime=160s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.09329 ram_avail=5169MB
2026-09-09 14:09:56,695 | INFO | phase11b | === direction_B__scvi_matched__seed11 (source n=3994 target n=6855) ===
2026-09-09 14:12:30,007 | INFO | phase11b | direction_B__scvi_matched__seed11 done: src_ep=200 q_ep=185 runtime=151s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.09203 ram_avail=5350MB
2026-09-09 14:12:30,154 | INFO | phase11b | === direction_B__scvi_matched__seed12 (source n=3994 target n=6855) ===
2026-09-09 14:15:12,655 | INFO | phase11b | direction_B__scvi_matched__seed12 done: src_ep=200 q_ep=200 runtime=160s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.09046 ram_avail=5299MB
2026-09-09 14:15:12,800 | INFO | phase11b | === direction_B__scvi_matched__seed13 (source n=3994 target n=6855) ===
2026-09-09 14:17:55,793 | INFO | phase11b | direction_B__scvi_matched__seed13 done: src_ep=200 q_ep=200 runtime=161s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.08436 ram_avail=5252MB
2026-09-09 14:17:55,941 | INFO | phase11b | === direction_B__scvi_matched__seed14 (source n=3994 target n=6855) ===
2026-09-09 14:20:27,144 | INFO | phase11b | direction_B__scvi_matched__seed14 done: src_ep=200 q_ep=170 runtime=149s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.09819 ram_avail=5200MB
2026-09-09 14:20:27,290 | INFO | phase11b | === direction_B__scvi_matched__seed15 (source n=3994 target n=6855) ===
2026-09-09 14:23:15,354 | INFO | phase11b | direction_B__scvi_matched__seed15 done: src_ep=200 q_ep=200 runtime=166s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.09614 ram_avail=5184MB
2026-09-09 14:23:15,501 | INFO | phase11b | === direction_B__scvi_matched__seed16 (source n=3994 target n=6855) ===
2026-09-09 14:26:30,314 | INFO | phase11b | direction_B__scvi_matched__seed16 done: src_ep=200 q_ep=200 runtime=192s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.07562 ram_avail=5200MB
2026-09-09 14:26:30,477 | INFO | phase11b | === direction_B__scvi_matched__seed17 (source n=3994 target n=6855) ===
2026-09-09 14:29:41,278 | INFO | phase11b | direction_B__scvi_matched__seed17 done: src_ep=200 q_ep=200 runtime=188s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.08963 ram_avail=5232MB
2026-09-09 14:29:41,441 | INFO | phase11b | === direction_B__scvi_matched__seed18 (source n=3994 target n=6855) ===
2026-09-09 14:33:00,078 | INFO | phase11b | direction_B__scvi_matched__seed18 done: src_ep=200 q_ep=200 runtime=196s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.11348 ram_avail=5229MB
2026-09-09 14:33:00,230 | INFO | phase11b | === direction_B__scvi_matched__seed19 (source n=3994 target n=6855) ===
2026-09-09 14:36:29,000 | INFO | phase11b | direction_B__scvi_matched__seed19 done: src_ep=200 q_ep=200 runtime=206s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.08352 ram_avail=5154MB
2026-09-09 14:36:29,167 | INFO | phase11b | === direction_B__totalvi__seed05 (source n=3994 target n=6855) ===
2026-09-09 14:42:28,363 | INFO | phase11b | direction_B__totalvi__seed05 done: src_ep=200 q_ep=200 runtime=355s drift_mean=0.017354 integrity=0.00e+00 u_latent=0.04695 ram_avail=5237MB
2026-09-09 14:42:28,516 | INFO | phase11b | === direction_B__totalvi__seed06 (source n=3994 target n=6855) ===
2026-09-09 14:48:49,166 | INFO | phase11b | direction_B__totalvi__seed06 done: src_ep=200 q_ep=200 runtime=376s drift_mean=0.016729 integrity=0.00e+00 u_latent=0.04430 ram_avail=5247MB
2026-09-09 14:48:49,323 | INFO | phase11b | === direction_B__totalvi__seed07 (source n=3994 target n=6855) ===
