model,direction,label_level,within_dataset_macro_f1,cross_dataset_macro_f1,generalization_gap,within_dataset_reference,model_seed
scvi_matched,pbmc10k_to_pbmc5k,l2,0.7218643946226526,0.6510217830627849,-0.07084261155986771,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,0
scvi_matched,pbmc10k_to_pbmc5k,l2,0.7218643946226526,0.6577255382600048,-0.06413885636264782,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,4
totalvi,pbmc10k_to_pbmc5k,l2,0.7792121076915633,0.6678916332453284,-0.11132047444623494,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,4
scvi_matched,pbmc10k_to_pbmc5k,l1,0.8959883913628512,0.8207096081313318,-0.07527878323151949,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,4
totalvi,pbmc10k_to_pbmc5k,l1,0.8967101331990678,0.819053780887072,-0.07765635231199575,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,4
scvi_matched,pbmc5k_to_pbmc10k,l2,0.7218643946226526,0.6402484093156036,-0.08161598530704905,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,0
totalvi,pbmc5k_to_pbmc10k,l2,0.7792121076915633,0.6157476799755611,-0.16346442771600223,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,0
scvi_matched,pbmc5k_to_pbmc10k,l1,0.8959883913628512,0.8027547691537762,-0.09323362220907505,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,0
totalvi,pbmc5k_to_pbmc10k,l1,0.8967101331990678,0.8770161907588205,-0.019693942440247247,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,0
scvi_matched,pbmc5k_to_pbmc10k,l2,0.7218643946226526,0.5707669476871889,-0.15109744693546368,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,1
totalvi,pbmc5k_to_pbmc10k,l2,0.7792121076915633,0.6101999641645781,-0.16901214352698524,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,1
scvi_matched,pbmc5k_to_pbmc10k,l1,0.8959883913628512,0.70563566585784,-0.19035272550501126,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,1
totalvi,pbmc5k_to_pbmc10k,l1,0.8967101331990678,0.7850442382306153,-0.11166589496845247,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,1
scvi_matched,pbmc5k_to_pbmc10k,l2,0.7218643946226526,0.6114909059169635,-0.11037348870568908,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,2
totalvi,pbmc5k_to_pbmc10k,l2,0.7792121076915633,0.6869075207835412,-0.09230458690802212,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,2
scvi_matched,pbmc5k_to_pbmc10k,l1,0.8959883913628512,0.755450518696078,-0.1405378726667732,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,2
totalvi,pbmc5k_to_pbmc10k,l1,0.8967101331990678,0.8613939328537898,-0.03531620034527794,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,2
scvi_matched,pbmc5k_to_pbmc10k,l2,0.7218643946226526,0.5844995089746119,-0.13736488564804072,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,3
totalvi,pbmc5k_to_pbmc10k,l2,0.7792121076915633,0.6714806524889094,-0.10773145520265393,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,3
scvi_matched,pbmc5k_to_pbmc10k,l1,0.8959883913628512,0.7420794941224658,-0.15390889724038548,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,3
totalvi,pbmc5k_to_pbmc10k,l1,0.8967101331990678,0.8923497465826367,-0.004360386616431122,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,3
scvi_matched,pbmc5k_to_pbmc10k,l2,0.7218643946226526,0.6208253115953314,-0.10103908302732123,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,4
totalvi,pbmc5k_to_pbmc10k,l2,0.7792121076915633,0.6596235270807813,-0.11958858061078204,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,4
scvi_matched,pbmc5k_to_pbmc10k,l1,0.8959883913628512,0.803340194759937,-0.09264819660291423,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,4
totalvi,pbmc5k_to_pbmc10k,l1,0.8967101331990678,0.8802600041089708,-0.01645012909009702,PHASE 6 within-combined-dataset held-out logreg macro-F1 on high-confidence cells. Design differs from PHASE 10 source→target transfer; gap is descriptive.,4
