claim_id,claim_text,phase,dataset,analysis,primary_or_secondary,point_estimate,uncertainty,n,support_level,limitations,source_table,source_figure,manuscript_section,main_or_supplement
R45_direction_B_scvi_matched_error_auroc_latent,20-seed direction_B scvi_matched error_auroc_latent=0.4688,PHASE11B,PBMC transfer,20seed_uncertainty,primary,0.4688,sd=0.0745,20,A,Authoritative over PHASE11 5-seed,results/phase11b_uncertainty_robustness/tables/phase11b_20seed_primary.csv,Fig4,Results4-5,main
R45_direction_B_scvi_matched_nll,20-seed direction_B scvi_matched nll=0.7473,PHASE11B,PBMC transfer,20seed_uncertainty,primary,0.7473,sd=0.0564,20,A,Authoritative over PHASE11 5-seed,results/phase11b_uncertainty_robustness/tables/phase11b_20seed_primary.csv,Fig4,Results4-5,main
R45_direction_B_scvi_matched_brier,20-seed direction_B scvi_matched brier=0.3366,PHASE11B,PBMC transfer,20seed_uncertainty,primary,0.3366,sd=0.0176,20,A,Authoritative over PHASE11 5-seed,results/phase11b_uncertainty_robustness/tables/phase11b_20seed_primary.csv,Fig4,Results4-5,main
R45_direction_B_scvi_matched_ece_equal_frequency,20-seed direction_B scvi_matched ece_equal_frequency=0.0409,PHASE11B,PBMC transfer,20seed_uncertainty,primary,0.0409,sd=0.0130,20,A,Authoritative over PHASE11 5-seed,results/phase11b_uncertainty_robustness/tables/phase11b_20seed_primary.csv,Fig4,Results4-5,main
R45_direction_B_scvi_matched_aurc,20-seed direction_B scvi_matched aurc=0.0711,PHASE11B,PBMC transfer,20seed_uncertainty,primary,0.0711,sd=0.0071,20,A,Authoritative over PHASE11 5-seed,results/phase11b_uncertainty_robustness/tables/phase11b_20seed_primary.csv,Fig4,Results4-5,main
R45_direction_B_totalvi_macro_f1,20-seed direction_B totalvi macro_f1=0.6540,PHASE11B,PBMC transfer,20seed_uncertainty,primary,0.6540,sd=0.0254,20,A,Authoritative over PHASE11 5-seed,results/phase11b_uncertainty_robustness/tables/phase11b_20seed_primary.csv,Fig4,Results4-5,main
R45_direction_B_totalvi_error_auroc_predictive,20-seed direction_B totalvi error_auroc_predictive=0.8560,PHASE11B,PBMC transfer,20seed_uncertainty,primary,0.8560,sd=0.0163,20,A,Authoritative over PHASE11 5-seed,results/phase11b_uncertainty_robustness/tables/phase11b_20seed_primary.csv,Fig4,Results4-5,main
R45_direction_B_totalvi_error_auroc_latent,20-seed direction_B totalvi error_auroc_latent=0.6099,PHASE11B,PBMC transfer,20seed_uncertainty,primary,0.6099,sd=0.0375,20,A,Authoritative over PHASE11 5-seed,results/phase11b_uncertainty_robustness/tables/phase11b_20seed_primary.csv,Fig4,Results4-5,main
R45_direction_B_totalvi_nll,20-seed direction_B totalvi nll=0.5684,PHASE11B,PBMC transfer,20seed_uncertainty,primary,0.5684,sd=0.0468,20,A,Authoritative over PHASE11 5-seed,results/phase11b_uncertainty_robustness/tables/phase11b_20seed_primary.csv,Fig4,Results4-5,main
R45_direction_B_totalvi_brier,20-seed direction_B totalvi brier=0.2921,PHASE11B,PBMC transfer,20seed_uncertainty,primary,0.2921,sd=0.0280,20,A,Authoritative over PHASE11 5-seed,results/phase11b_uncertainty_robustness/tables/phase11b_20seed_primary.csv,Fig4,Results4-5,main
R45_direction_B_totalvi_ece_equal_frequency,20-seed direction_B totalvi ece_equal_frequency=0.0346,PHASE11B,PBMC transfer,20seed_uncertainty,primary,0.0346,sd=0.0117,20,A,Authoritative over PHASE11 5-seed,results/phase11b_uncertainty_robustness/tables/phase11b_20seed_primary.csv,Fig4,Results4-5,main
R45_direction_B_totalvi_aurc,20-seed direction_B totalvi aurc=0.0600,PHASE11B,PBMC transfer,20seed_uncertainty,primary,0.0600,sd=0.0138,20,A,Authoritative over PHASE11 5-seed,results/phase11b_uncertainty_robustness/tables/phase11b_20seed_primary.csv,Fig4,Results4-5,main
R45d_direction_A_macro_f1,Paired Delta direction_A macro_f1=-0.0032; +=11/20; inconclusive,PHASE11B,PBMC transfer,paired_seed_deltas,primary,-0.0032,"sd=0.0257; CI[-0.0143,0.0075]",20 pairs,D,inconclusive,results/phase11b_uncertainty_robustness/tables/phase11b_seed_delta_summary.csv,Fig4,Results4-5,main
R45d_direction_A_error_auroc_predictive,Paired Delta direction_A error_auroc_predictive=0.0080; +=14/20; inconclusive,PHASE11B,PBMC transfer,paired_seed_deltas,primary,0.0080,"sd=0.0152; CI[0.0015,0.0146]",20 pairs,D,inconclusive,results/phase11b_uncertainty_robustness/tables/phase11b_seed_delta_summary.csv,Fig4,Results4-5,main
R45d_direction_A_nll,Paired Delta direction_A nll=-0.0422; +=2/20; cell_sampling_sensitive,PHASE11B,PBMC transfer,paired_seed_deltas,primary,-0.0422,"sd=0.0364; CI[-0.0577,-0.0263]",20 pairs,B,cell_sampling_sensitive,results/phase11b_uncertainty_robustness/tables/phase11b_seed_delta_summary.csv,Fig4,Results4-5,main
R45d_direction_A_brier,Paired Delta direction_A brier=-0.0240; +=2/20; robust,PHASE11B,PBMC transfer,paired_seed_deltas,primary,-0.0240,"sd=0.0193; CI[-0.0321,-0.0157]",20 pairs,A,robust,results/phase11b_uncertainty_robustness/tables/phase11b_seed_delta_summary.csv,Fig4,Results4-5,main
R45d_direction_A_aurc,Paired Delta direction_A aurc=-0.0090; +=2/20; robust,PHASE11B,PBMC transfer,paired_seed_deltas,primary,-0.0090,"sd=0.0071; CI[-0.0120,-0.0060]",20 pairs,A,robust,results/phase11b_uncertainty_robustness/tables/phase11b_seed_delta_summary.csv,Fig4,Results4-5,main
R45d_direction_A_error_auroc_latent,Paired Delta direction_A error_auroc_latent=0.1255; +=19/20; cell_sampling_sensitive,PHASE11B,PBMC transfer,paired_seed_deltas,primary,0.1255,"sd=0.0636; CI[0.0975,0.1524]",20 pairs,B,cell_sampling_sensitive,results/phase11b_uncertainty_robustness/tables/phase11b_seed_delta_summary.csv,Fig4,Results4-5,main
R45d_direction_B_macro_f1,Paired Delta direction_B macro_f1=0.0525; +=19/20; cell_sampling_sensitive,PHASE11B,PBMC transfer,paired_seed_deltas,primary,0.0525,"sd=0.0309; CI[0.0393,0.0654]",20 pairs,B,cell_sampling_sensitive,results/phase11b_uncertainty_robustness/tables/phase11b_seed_delta_summary.csv,Fig4,Results4-5,main
R45d_direction_B_error_auroc_predictive,Paired Delta direction_B error_auroc_predictive=0.0015; +=10/20; inconclusive,PHASE11B,PBMC transfer,paired_seed_deltas,primary,0.0015,"sd=0.0166; CI[-0.0058,0.0082]",20 pairs,D,inconclusive,results/phase11b_uncertainty_robustness/tables/phase11b_seed_delta_summary.csv,Fig4,Results4-5,main
R45d_direction_B_nll,Paired Delta direction_B nll=-0.1788; +=0/20; cell_sampling_sensitive,PHASE11B,PBMC transfer,paired_seed_deltas,primary,-0.1788,"sd=0.0626; CI[-0.2044,-0.1520]",20 pairs,B,cell_sampling_sensitive,results/phase11b_uncertainty_robustness/tables/phase11b_seed_delta_summary.csv,Fig4,Results4-5,main
R45d_direction_B_brier,Paired Delta direction_B brier=-0.0445; +=2/20; robust,PHASE11B,PBMC transfer,paired_seed_deltas,primary,-0.0445,"sd=0.0305; CI[-0.0572,-0.0315]",20 pairs,A,robust,results/phase11b_uncertainty_robustness/tables/phase11b_seed_delta_summary.csv,Fig4,Results4-5,main
R45d_direction_B_aurc,Paired Delta direction_B aurc=-0.0111; +=3/20; robust,PHASE11B,PBMC transfer,paired_seed_deltas,primary,-0.0111,"sd=0.0144; CI[-0.0170,-0.0047]",20 pairs,A,robust,results/phase11b_uncertainty_robustness/tables/phase11b_seed_delta_summary.csv,Fig4,Results4-5,main
R45d_direction_B_error_auroc_latent,Paired Delta direction_B error_auroc_latent=0.1411; +=19/20; cell_sampling_sensitive,PHASE11B,PBMC transfer,paired_seed_deltas,primary,0.1411,"sd=0.0935; CI[0.1022,0.1817]",20 pairs,B,cell_sampling_sensitive,results/phase11b_uncertainty_robustness/tables/phase11b_seed_delta_summary.csv,Fig4,Results4-5,main
R7_direction_A_scvi_matched_CV,direction_A scvi_matched retention_CV@50%=0.000,PHASE11B,PBMC transfer,selective_prediction,primary,0.000,range=0.000,20,A,biological coverage imbalance,results/phase11b_uncertainty_robustness/tables/phase11b_retention_imbalance.csv,Fig5D,Results7,main
R7_direction_A_scvi_matched_CV,direction_A scvi_matched retention_CV@50%=0.149,PHASE11B,PBMC transfer,selective_prediction,primary,0.149,range=0.382,20,A,biological coverage imbalance,results/phase11b_uncertainty_robustness/tables/phase11b_retention_imbalance.csv,Fig5D,Results7,main
R7_direction_A_scvi_matched_CV,direction_A scvi_matched retention_CV@50%=0.257,PHASE11B,PBMC transfer,selective_prediction,primary,0.257,range=0.541,20,A,biological coverage imbalance,results/phase11b_uncertainty_robustness/tables/phase11b_retention_imbalance.csv,Fig5D,Results7,main
R7_direction_A_scvi_matched_CV,direction_A scvi_matched retention_CV@50%=0.402,PHASE11B,PBMC transfer,selective_prediction,primary,0.402,range=0.719,20,A,biological coverage imbalance,results/phase11b_uncertainty_robustness/tables/phase11b_retention_imbalance.csv,Fig5D,Results7,main
R7_direction_A_scvi_matched_CV,direction_A scvi_matched retention_CV@50%=0.595,PHASE11B,PBMC transfer,selective_prediction,primary,0.595,range=0.834,20,A,biological coverage imbalance,results/phase11b_uncertainty_robustness/tables/phase11b_retention_imbalance.csv,Fig5D,Results7,main
R7_direction_A_scvi_matched_CV,direction_A scvi_matched retention_CV@50%=0.880,PHASE11B,PBMC transfer,selective_prediction,primary,0.880,range=0.911,20,A,biological coverage imbalance,results/phase11b_uncertainty_robustness/tables/phase11b_retention_imbalance.csv,Fig5D,Results7,main
R7_direction_A_totalvi_CV,direction_A totalvi retention_CV@50%=0.000,PHASE11B,PBMC transfer,selective_prediction,primary,0.000,range=0.000,20,A,biological coverage imbalance,results/phase11b_uncertainty_robustness/tables/phase11b_retention_imbalance.csv,Fig5D,Results7,main
R7_direction_A_totalvi_CV,direction_A totalvi retention_CV@50%=0.171,PHASE11B,PBMC transfer,selective_prediction,primary,0.171,range=0.501,20,A,biological coverage imbalance,results/phase11b_uncertainty_robustness/tables/phase11b_retention_imbalance.csv,Fig5D,Results7,main
R7_direction_A_totalvi_CV,direction_A totalvi retention_CV@50%=0.293,PHASE11B,PBMC transfer,selective_prediction,primary,0.293,range=0.702,20,A,biological coverage imbalance,results/phase11b_uncertainty_robustness/tables/phase11b_retention_imbalance.csv,Fig5D,Results7,main
R7_direction_A_totalvi_CV,direction_A totalvi retention_CV@50%=0.455,PHASE11B,PBMC transfer,selective_prediction,primary,0.455,range=0.854,20,A,biological coverage imbalance,results/phase11b_uncertainty_robustness/tables/phase11b_retention_imbalance.csv,Fig5D,Results7,main
R7_direction_A_totalvi_CV,direction_A totalvi retention_CV@50%=0.657,PHASE11B,PBMC transfer,selective_prediction,primary,0.657,range=0.928,20,A,biological coverage imbalance,results/phase11b_uncertainty_robustness/tables/phase11b_retention_imbalance.csv,Fig5D,Results7,main
R7_direction_A_totalvi_CV,direction_A totalvi retention_CV@50%=0.947,PHASE11B,PBMC transfer,selective_prediction,primary,0.947,range=0.938,20,A,biological coverage imbalance,results/phase11b_uncertainty_robustness/tables/phase11b_retention_imbalance.csv,Fig5D,Results7,main
R7_direction_B_scvi_matched_CV,direction_B scvi_matched retention_CV@50%=0.000,PHASE11B,PBMC transfer,selective_prediction,primary,0.000,range=0.000,20,A,biological coverage imbalance,results/phase11b_uncertainty_robustness/tables/phase11b_retention_imbalance.csv,Fig5D,Results7,main
R7_direction_B_scvi_matched_CV,direction_B scvi_matched retention_CV@50%=0.186,PHASE11B,PBMC transfer,selective_prediction,primary,0.186,range=0.497,20,A,biological coverage imbalance,results/phase11b_uncertainty_robustness/tables/phase11b_retention_imbalance.csv,Fig5D,Results7,main
R7_direction_B_scvi_matched_CV,direction_B scvi_matched retention_CV@50%=0.332,PHASE11B,PBMC transfer,selective_prediction,primary,0.332,range=0.688,20,A,biological coverage imbalance,results/phase11b_uncertainty_robustness/tables/phase11b_retention_imbalance.csv,Fig5D,Results7,main
R7_direction_B_scvi_matched_CV,direction_B scvi_matched retention_CV@50%=0.522,PHASE11B,PBMC transfer,selective_prediction,primary,0.522,range=0.824,20,A,biological coverage imbalance,results/phase11b_uncertainty_robustness/tables/phase11b_retention_imbalance.csv,Fig5D,Results7,main
R7_direction_B_scvi_matched_CV,direction_B scvi_matched retention_CV@50%=0.759,PHASE11B,PBMC transfer,selective_prediction,primary,0.759,range=0.920,20,A,biological coverage imbalance,results/phase11b_uncertainty_robustness/tables/phase11b_retention_imbalance.csv,Fig5D,Results7,main
R7_direction_B_scvi_matched_CV,direction_B scvi_matched retention_CV@50%=1.021,PHASE11B,PBMC transfer,selective_prediction,primary,1.021,range=0.898,20,A,biological coverage imbalance,results/phase11b_uncertainty_robustness/tables/phase11b_retention_imbalance.csv,Fig5D,Results7,main
R7_direction_B_totalvi_CV,direction_B totalvi retention_CV@50%=0.000,PHASE11B,PBMC transfer,selective_prediction,primary,0.000,range=0.000,20,A,biological coverage imbalance,results/phase11b_uncertainty_robustness/tables/phase11b_retention_imbalance.csv,Fig5D,Results7,main
R7_direction_B_totalvi_CV,direction_B totalvi retention_CV@50%=0.179,PHASE11B,PBMC transfer,selective_prediction,primary,0.179,range=0.428,20,A,biological coverage imbalance,results/phase11b_uncertainty_robustness/tables/phase11b_retention_imbalance.csv,Fig5D,Results7,main
R7_direction_B_totalvi_CV,direction_B totalvi retention_CV@50%=0.305,PHASE11B,PBMC transfer,selective_prediction,primary,0.305,range=0.650,20,A,biological coverage imbalance,results/phase11b_uncertainty_robustness/tables/phase11b_retention_imbalance.csv,Fig5D,Results7,main
R7_direction_B_totalvi_CV,direction_B totalvi retention_CV@50%=0.451,PHASE11B,PBMC transfer,selective_prediction,primary,0.451,range=0.793,20,A,biological coverage imbalance,results/phase11b_uncertainty_robustness/tables/phase11b_retention_imbalance.csv,Fig5D,Results7,main
R7_direction_B_totalvi_CV,direction_B totalvi retention_CV@50%=0.620,PHASE11B,PBMC transfer,selective_prediction,primary,0.620,range=0.871,20,A,biological coverage imbalance,results/phase11b_uncertainty_robustness/tables/phase11b_retention_imbalance.csv,Fig5D,Results7,main
R7_direction_B_totalvi_CV,direction_B totalvi retention_CV@50%=0.807,PHASE11B,PBMC transfer,selective_prediction,primary,0.807,range=0.881,20,A,biological coverage imbalance,results/phase11b_uncertainty_robustness/tables/phase11b_retention_imbalance.csv,Fig5D,Results7,main
R3_10b_partial,Source-size matching partially closes DirA→DirB Delta gap (~+0.0197 / ~37% of original gap in PHASE10B analysis),PHASE10B,PBMC transfer,source_size_sensitivity,secondary,+0.0197 Delta size-effect,see source_size_summary.csv,5 seeds×subsamples,B,Not a complete explanation of transfer asymmetry,results/phase10b_source_size/tables/source_size_summary.csv,Fig3C,Results3,main
R6_scvi_matched_res,scvi_matched mean residual_fraction=0.636,PHASE12A,PBMC DirA,replicated_variance,primary,0.636,source=0.042; seed=0.063; inter=0.259,5×5×2,A,run-level stochastic residual; not biological noise,results/phase12a_variance_replication/tables/replicated_variance_components.csv,Fig5B,Results6,main
R6_totalvi_res,totalvi mean residual_fraction=0.791,PHASE12A,PBMC DirA,replicated_variance,primary,0.791,source=0.004; seed=0.061; inter=0.144,5×5×2,A,run-level stochastic residual; not biological noise,results/phase12a_variance_replication/tables/replicated_variance_components.csv,Fig5B,Results6,main
R6_delta_res,Delta residual_fraction mean=0.687,PHASE12A,PBMC DirA,delta_variance,primary,0.687,source=0.048; seed=0.094; inter=0.170,5×5×2,A,Source composition not dominant once residual separated,results/phase12a_variance_replication/tables/replicated_delta_variance_components.csv,Fig5B,Results6,main
R8_scvi_matched_macro_f1,Lawlor scvi_matched macro_f1=0.7998,PHASE12B,Lawlor Baseline,donor_held_out,primary,0.7998,sd=0.0149,50,A,Author labels; 12 proteins; Baseline-only,results/phase12b_external_validation/formal_validation/tables/phase12b_primary_runs.csv,Fig6,Results8,main
R8_scvi_matched_predictive_error_auroc,Lawlor scvi_matched predictive_error_auroc=0.8012,PHASE12B,Lawlor Baseline,donor_held_out,primary,0.8012,sd=0.0201,50,A,Author labels; 12 proteins; Baseline-only,results/phase12b_external_validation/formal_validation/tables/phase12b_primary_runs.csv,Fig6,Results8,main
R8_scvi_matched_latent_error_auroc,Lawlor scvi_matched latent_error_auroc=0.6049,PHASE12B,Lawlor Baseline,donor_held_out,primary,0.6049,sd=0.0489,50,A,Author labels; 12 proteins; Baseline-only,results/phase12b_external_validation/formal_validation/tables/phase12b_primary_runs.csv,Fig6,Results8,main
R8_scvi_matched_nll,Lawlor scvi_matched nll=0.5799,PHASE12B,Lawlor Baseline,donor_held_out,primary,0.5799,sd=0.0459,50,A,Author labels; 12 proteins; Baseline-only,results/phase12b_external_validation/formal_validation/tables/phase12b_primary_runs.csv,Fig6,Results8,main
R8_scvi_matched_brier,Lawlor scvi_matched brier=0.3270,PHASE12B,Lawlor Baseline,donor_held_out,primary,0.3270,sd=0.0274,50,A,Author labels; 12 proteins; Baseline-only,results/phase12b_external_validation/formal_validation/tables/phase12b_primary_runs.csv,Fig6,Results8,main
